,i,name,SMILES
1720,1720,SC4H9O2H(187) + OH(15) <=> H2O(8) + C4H8OOH2-4(223),CCC(C)OO+[OH]_O+[CH2]CC(C)OO
1721,1721,SC4H9O2(186) + CH2CHO(21) <=> CH2CO(24) + SC4H9O2H(187),CCC(C)O[O]+[CH2]C=O_C=C=O+CCC(C)OO
1722,1722,CH2O(9) + C4H8OOH2-4(223) <=> SC4H9O2H(187) + HCO(19),C=O+[CH2]CC(C)OO_CCC(C)OO+[CH]=O
1723,1723,C4H8OOH1-3O2(225) + SC4H9O2H(187) <=> CC(CCOO)OO(787) + SC4H9O2(186),CC(CCOO)O[O]+CCC(C)OO_CC(CCOO)OO+CCC(C)O[O]
1724,1724,C4H8OOH2-4O2(229) + SC4H9O2H(187) <=> CC(CCOO)OO(787) + SC4H9O2(186),CC(CCO[O])OO+CCC(C)OO_CC(CCOO)OO+CCC(C)O[O]
1725,1725,"SC4H9O2H(187) + C4H72-2,4OOH(244) <=> CC(CCOO)OO(787) + SC4H9O2(186)",CCC(C)OO+C[C](CCOO)OO_CC(CCOO)OO+CCC(C)O[O]
1726,1726,"C4H71-1,3OOH(238) + SC4H9O2H(187) <=> CC(CCOO)OO(787) + SC4H9O2(186)",CC(C[CH]OO)OO+CCC(C)OO_CC(CCOO)OO+CCC(C)O[O]
1727,1727,H2O2(17) + C4H8OOH2-4(223) <=> SC4H9O2H(187) + HO2(16),OO+[CH2]CC(C)OO_CCC(C)OO+[O]O
1728,1728,SC4H9O2H(187) + CH2(23) <=> SC4H9O2(186) + CH3(18),CCC(C)OO+[CH2]_CCC(C)O[O]+[CH3]
1729,1729,C4H71-3(190) + SC4H9O2(186) <=> C4H6(194) + SC4H9O2H(187),C=C[CH]C+CCC(C)O[O]_C=CC=C+CCC(C)OO
1730,1730,C4H8-2(189) + C4H8OOH2-4(223) <=> C4H71-3(190) + SC4H9O2H(187),CC=CC+[CH2]CC(C)OO_C=C[CH]C+CCC(C)OO
1731,1731,C4H8-1(188) + C4H8OOH2-4(223) <=> C4H71-3(190) + SC4H9O2H(187),C=CCC+[CH2]CC(C)OO_C=C[CH]C+CCC(C)OO
1732,1732,C4H8-1(188) + C4H8OOH2-4(223) <=> SC4H9O2H(187) + C4H71-4(191),C=CCC+[CH2]CC(C)OO_CCC(C)OO+[CH2]CC=C
1733,1733,SC4H9O2H(187) + C4H71-1(192) <=> C4H8-1(188) + C4H8OOH2-4(223),CCC(C)OO+[CH]=CCC_C=CCC+[CH2]CC(C)OO
1734,1734,CH3CHO(35) + C4H8OOH2-4(223) <=> SC4H9O2H(187) + CH2CHO(21),CC=O+[CH2]CC(C)OO_CCC(C)OO+[CH2]C=O
1735,1735,CH3CHO(35) + C4H8OOH2-4(223) <=> SC4H9O2H(187) + CH3CO(20),CC=O+[CH2]CC(C)OO_CCC(C)OO+C[C]=O
1736,1736,SC4H9O2(186) + CH3O(31) <=> CH2O(9) + SC4H9O2H(187),CCC(C)O[O]+C[O]_C=O+CCC(C)OO
1737,1737,SC4H9O2H(187) + CH3O2(45) <=> SC4H9O2(186) + CH3O2H(46),CCC(C)OO+CO[O]_CCC(C)O[O]+COO
1738,1738,CH3O2H(46) + C4H8OOH2-4(223) <=> SC4H9O2H(187) + CH3O2(45),COO+[CH2]CC(C)OO_CCC(C)OO+CO[O]
1739,1739,SC4H9O2H(187) + C2H3(22) <=> C2H4(11) + C4H8OOH2-4(223),CCC(C)OO+[CH]=C_C=C+[CH2]CC(C)OO
1740,1740,SC4H9O2H(187) + C2H(4) <=> C2H2(25) + SC4H9O2(186),CCC(C)OO+[C]#C_C#C+CCC(C)O[O]
1741,1741,CH3COCH2O2(72) + SC4H9O2H(187) <=> C3KET21(73) + SC4H9O2(186),CC(=O)CO[O]+CCC(C)OO_CC(=O)COO+CCC(C)O[O]
1742,1742,SC4H9O2H(187) + [CH2]C(=O)COO(911) <=> C3KET21(73) + SC4H9O2(186),CCC(C)OO+[CH2]C(=O)COO_CC(=O)COO+CCC(C)O[O]
1743,1743,SC4H9O2H(187) + OCHO(38) <=> SC4H9O2(186) + HOCHO(40),CCC(C)OO+[O]C=O_CCC(C)O[O]+O=CO
