i,name,SMILES,unique_string
3988,HOCH2O(39) + C2H5CO(77) <=> HOCHO(40) + C2H5CHO(76),[O]CO+CC[C]=O_O=CO+CCC=O,180+187=35+186
3989,HOCH2O(39) + C2H5(33) <=> HOCHO(40) + C2H6(32),[O]CO+C[CH2]_O=CO+CC,32+180=31+35
3990,HOCH2O(39) + C4H71-3(191) <=> HOCHO(40) + C4H8-2(190),[O]CO+C=C[CH]C_O=CO+CC=CC,63+180=35+62
3991,HOCH2O(39) + C5H91-3(425) <=> HOCHO(40) + C5H10-1(423),[O]CO+C=C[CH]CC_O=CO+C=CCCC,144+180=35+194
3992,HOCHO(40) + CH2CO(24) <=> HOCH2O(39) + HCCO(27),O=CO+C=C=O_[O]CO+C#C[O],27+35=110+180
3993,HOCHO(40) + CH3CHO(35) <=> HOCH2O(39) + CH2CHO(21),O=CO+CC=O_[O]CO+[CH2]C=O,33+35=24+180
3994,HOCH2O(39) + CH3CO2(55) <=> HOCHO(40) + CC(=O)O(1413),[O]CO+CC([O])=O_O=CO+CC(=O)O,180+183=35+232
3995,HOCH2O(39) + C2H5O2(47) <=> HOCHO(40) + C2H5O2H(48),[O]CO+CCO[O]_O=CO+CCOO,38+180=35+39
3996,HOCH2O(39) + C2H4O2H(50) <=> HOCHO(40) + C2H5O2H(48),[O]CO+[CH2]COO_O=CO+CCOO,180+181=35+39
3997,OCHO(38) + HOCH2O(39) <=> HOCHO(40) + HOCHO(40),[O]C=O+[O]CO_O=CO+O=CO,34+180=35+35
3998,CH2O(9) + CH2CO(24) <=> HOCH2O(39) + C2H(4),C=O+C=C=O_[O]CO+[C]#C,12+27=7+180
3999,HOCHO(40) + HOCHO(40) <=> OCHO(38) + HOCH2O(39),O=CO+O=CO_[O]C=O+[O]CO,35+35=34+180
4000,HOCH2O(39) + C2H(4) <=> HOCHO(40) + C2H2(25),[O]CO+[C]#C_O=CO+C#C,7+180=28+35
4001,CH3O2(45) + HOCH2O(39) <=> HOCHO(40) + CH3O2H(46),CO[O]+[O]CO_O=CO+COO,36+180=35+37
4002,CH2O2H(292) + HOCH2O(39) <=> HOCHO(40) + CH3O2H(46),[CH2]OO+[O]CO_O=CO+COO,180+190=35+37
4003,O(5) + HOCH2O(39) <=> OH(15) + HOCHO(40),[O]+[O]CO_[OH]+O=CO,8+180=18+35
4004,HOCHO(40) + CC(=O)O(1413) <=> HOCH2O(39) + CH3CO2(55),O=CO+CC(=O)O_[O]CO+CC([O])=O,35+232=180+183
4005,HOCH2O(39) + CH3COCH2O2(72) <=> HOCHO(40) + C3KET21(73),[O]CO+CC(=O)CO[O]_O=CO+CC(=O)COO,45+180=35+46
4006,HOCH2O(39) + [CH2]C(=O)COO(986) <=> HOCHO(40) + C3KET21(73),[O]CO+[CH2]C(=O)COO_O=CO+CC(=O)COO,87+180=35+46
4007,CH3O(31) + HOCH2O(39) <=> HOCHO(40) + CH3OH(30),C[O]+[O]CO_O=CO+CO,30+180=29+35
4008,HOCH2O(39) + CC1OOC(CO[O])O1(4087) <=> HOCHO(40) + CC1OOC(COO)O1(4411),[O]CO+CC1OOC(CO[O])O1_O=CO+CC1OOC(COO)O1,180+242=35+245
4009,HOCH2O(39) + [CH2]C=C[CH2](3731) <=> HOCHO(40) + C4H71-3(191),[O]CO+[CH2]C=C[CH2]_O=CO+C=C[CH]C,93+180=35+63
4010,HOCH2O(39) + CC1OOCC(O[O])O1(4071) <=> HOCHO(40) + CC1OOCC(OO)O1(4088),[O]CO+CC1OOCC(O[O])O1_O=CO+CC1OOCC(OO)O1,180+240=35+243
4011,HOCH2O(39) + CH3COCH2(70) <=> HOCHO(40) + CH3COCH3(69),[O]CO+[CH2]C(C)=O_O=CO+CC(C)=O,43+180=35+185
4012,HOCHO(40) + CH3COCH3(69) <=> HOCH2O(39) + CH3COCH2(70),O=CO+CC(C)=O_[O]CO+[CH2]C(C)=O,35+185=43+180
4013,HOCH2O(39) + [O]OCCC(=O)OO(26892) <=> HOCHO(40) + O=C(CCOO)OO(27398),[O]CO+[O]OCCC(=O)OO_O=CO+O=C(CCOO)OO,180+265=35+266
4014,HOCHO(40) + C3H6(12) <=> HOCH2O(39) + C3H5-A(94),O=CO+C=CC_[O]CO+[CH2]C=C,15+35=50+180
4015,CH2O2H(292) <=> HOCH2O(39),[CH2]OO_[O]CO,190=180
4016,HO2(16) + [O]C[O](3198) <=> O2(2) + HOCH2O(39),[O]O+[O]C[O]_[O][O]+[O]CO,19+91=5+180
4017,HOCH2O(39) <=> H(14) + [O]C[O](3198),[O]CO_[H]+[O]C[O],180=17+91
4018,H(14) + C5H10-2(424) <=> H2(13) + C5H92-5(429),[H]+CC=CCC_[H][H]+[CH2]CC=CC,17+195=16+197
4019,O(5) + C5H10-2(424) <=> OH(15) + C5H92-5(429),[O]+CC=CCC_[OH]+[CH2]CC=CC,8+195=18+197
4020,OH(15) + C5H10-2(424) <=> H2O(8) + C5H92-5(429),[OH]+CC=CCC_O+[CH2]CC=CC,18+195=11+197
4021,CH3(18) + C5H10-2(424) <=> CH4(10) + C5H92-5(429),[CH3]+CC=CCC_C+[CH2]CC=CC,21+195=13+197
4022,O2(2) + C5H10-2(424) <=> HO2(16) + C5H92-5(429),[O][O]+CC=CCC_[O]O+[CH2]CC=CC,5+195=19+197
4023,HO2(16) + C5H10-2(424) <=> H2O2(17) + C5H92-5(429),[O]O+CC=CCC_OO+[CH2]CC=CC,19+195=20+197
4024,CH3O2(45) + C5H10-2(424) <=> CH3O2H(46) + C5H92-5(429),CO[O]+CC=CCC_COO+[CH2]CC=CC,36+195=37+197
4025,CH3O(31) + C5H10-2(424) <=> CH3OH(30) + C5H92-5(429),C[O]+CC=CCC_CO+[CH2]CC=CC,30+195=29+197
4026,C5H10-2(424) <=> H(14) + C5H92-5(429),CC=CCC_[H]+[CH2]CC=CC,195=17+197
4027,C5H92-5(429) + C5H11-2(421) <=> C5H10-2(424) + C5H10-2(424),[CH2]CC=CC+C[CH]CCC_CC=CCC+CC=CCC,192+197=195+195
4028,C5H92-5(429) + C5H11-3(422) <=> C5H10-2(424) + C5H10-2(424),[CH2]CC=CC+CC[CH]CC_CC=CCC+CC=CCC,193+197=195+195
4029,C2H5O(49) + C5H92-5(429) <=> CH3CHO(35) + C5H10-2(424),CC[O]+[CH2]CC=CC_CC=O+CC=CCC,40+197=33+195
4030,C3KET21(73) + C5H92-5(429) <=> CH3COCH2O2(72) + C5H10-2(424),CC(=O)COO+[CH2]CC=CC_CC(=O)CO[O]+CC=CCC,46+197=45+195
4031,C2H4(11) + C3H6(12) <=> H(14) + C5H92-5(429),C=C+C=CC_[H]+[CH2]CC=CC,14+15=17+197
4032,CH2O(9) + C5H92-5(429) <=> HCO(19) + C5H10-2(424),C=O+[CH2]CC=CC_[CH]=O+CC=CCC,12+197=22+195
4033,CH3CHO(35) + C5H92-5(429) <=> CH3CO(20) + C5H10-2(424),CC=O+[CH2]CC=CC_C[C]=O+CC=CCC,33+197=23+195
4034,[CH2]C[O](761) + C5H92-5(429) <=> CH2CHO(21) + C5H10-2(424),[CH2]C[O]+[CH2]CC=CC_[CH2]C=O+CC=CCC,80+197=24+195
4035,CH3CHO(35) + C5H92-5(429) <=> CH2CHO(21) + C5H10-2(424),CC=O+[CH2]CC=CC_[CH2]C=O+CC=CCC,33+197=24+195
4036,C[CH][O](947) + C5H92-5(429) <=> CH2CHO(21) + C5H10-2(424),C[CH][O]+[CH2]CC=CC_[CH2]C=O+CC=CCC,197+230=24+195
4037,CH3CO(20) + C5H92-5(429) <=> CH2CO(24) + C5H10-2(424),C[C]=O+[CH2]CC=CC_C=C=O+CC=CCC,23+197=27+195
4038,CH2CHO(21) + C5H92-5(429) <=> CH2CO(24) + C5H10-2(424),[CH2]C=O+[CH2]CC=CC_C=C=O+CC=CCC,24+197=27+195
4039,C2H3(22) + C5H92-5(429) <=> C2H2(25) + C5H10-2(424),[CH]=C+[CH2]CC=CC_C#C+CC=CCC,25+197=28+195
4040,HCO(19) + C5H92-5(429) <=> CO(6) + C5H10-2(424),[CH]=O+[CH2]CC=CC_[C-]#[O+]+CC=CCC,22+197=9+195
4041,OCHO(38) + C5H92-5(429) <=> CO2(7) + C5H10-2(424),[O]C=O+[CH2]CC=CC_O=C=O+CC=CCC,34+197=10+195
4042,CH3O(31) + C5H92-5(429) <=> CH2O(9) + C5H10-2(424),C[O]+[CH2]CC=CC_C=O+CC=CCC,30+197=12+195
4043,C2H5(33) + C5H92-5(429) <=> C2H4(11) + C5H10-2(424),C[CH2]+[CH2]CC=CC_C=C+CC=CCC,32+197=14+195
4044,NC3H7(92) + C5H92-5(429) <=> C3H6(12) + C5H10-2(424),[CH2]CC+[CH2]CC=CC_C=CC+CC=CCC,48+197=15+195
4045,IC3H7(93) + C5H92-5(429) <=> C3H6(12) + C5H10-2(424),C[CH]C+[CH2]CC=CC_C=CC+CC=CCC,49+197=15+195
4046,C5H92-5(429) + pentane(1) <=> C5H10-2(424) + C5H11-2(421),[CH2]CC=CC+CCCCC_CC=CCC+C[CH]CCC,179+197=192+195
4047,C5H92-5(429) + pentane(1) <=> C5H10-2(424) + C5H11-3(422),[CH2]CC=CC+CCCCC_CC=CCC+CC[CH]CC,179+197=193+195
