i,name,SMILES,unique_string
8194,CH3OH(36) + C2H3O3(5784) <=> CH2OH(41) + CH3CO3H(63),CO+[CH2]C(=O)OO_[CH2]O+CC(=O)OO,29+231=111+349
8195,C2H3O3(5784) + S(787) <=> CH3CO3H(63) + C4H9O4(247),[CH2]C(=O)OO+CC(CCOO)OO_CC(=O)OO+C[C](CCOO)OO,85+231=76+349
8196,C2H3O3(5784) + S(787) <=> CH3CO3H(63) + C4H9O4(241),[CH2]C(=O)OO+CC(CCOO)OO_CC(=O)OO+CC(C[CH]OO)OO,85+231=75+349
8197,CH3CO3(62) + C4H8O4(11426) <=> CH3CO3H(63) + C4H7O4(11378),CC(=O)O[O]+OOC1CCOOC1_CC(=O)OO+[O]OC1CCOOC1,182+377=109+349
8198,C2H3O3(5784) + C4H8O4(11426) <=> CH3CO3H(63) + C4H7O4(11378),[CH2]C(=O)OO+OOC1CCOOC1_CC(=O)OO+[O]OC1CCOOC1,231+377=109+349
8199,CH2OH(41) + CH3CO3(62) <=> CH2O(9) + CH3CO3H(63),[CH2]O+CC(=O)O[O]_C=O+CC(=O)OO,111+182=12+349
8200,CH2OH(41) + C2H3O3(5784) <=> CH2O(9) + CH3CO3H(63),[CH2]O+[CH2]C(=O)OO_C=O+CC(=O)OO,111+231=12+349
8201,CH2O(9) + CH3CO3H(63) <=> HO2(16) + CH3COCH2O(80),C=O+CC(=O)OO_[O]O+CC(=O)C[O],12+349=19+44
8202,CH3CO3(62) + C4H71-4(196) <=> CH3CO3H(63) + C4H6(199),CC(=O)O[O]+[CH2]CC=C_CC(=O)OO+C=CC=C,64+182=66+349
8203,C2H3O3(5784) + C4H71-4(196) <=> CH3CO3H(63) + C4H6(199),[CH2]C(=O)OO+[CH2]CC=C_CC(=O)OO+C=CC=C,64+231=66+349
8204,CH3CO3(62) + C3H5O(138) <=> CH3CO3H(63) + C2H3CHO(83),CC(=O)O[O]+C=CC[O]_CC(=O)OO+C=CC=O,54+182=47+349
8205,C2H3O3(5784) + C3H5O(138) <=> CH3CO3H(63) + C2H3CHO(83),[CH2]C(=O)OO+C=CC[O]_CC(=O)OO+C=CC=O,54+231=47+349
8206,CH3CO3(62) + [CH2]C[CH]C(689) <=> CH3CO3H(63) + C4H71-3(195),CC(=O)O[O]+[CH2]C[CH]C_CC(=O)OO+C=C[CH]C,81+182=63+349
8207,C2H3O3(5784) + [CH2]C[CH]C(689) <=> CH3CO3H(63) + C4H71-3(195),[CH2]C(=O)OO+[CH2]C[CH]C_CC(=O)OO+C=C[CH]C,81+231=63+349
8208,CH2O(9) + CH3CO3H(63) <=> CH2OH(41) + C2H3O3(5784),C=O+CC(=O)OO_[CH2]O+[CH2]C(=O)OO,12+349=111+231
8209,OH(15) + CH3COCH2O(80) <=> H2O(8) + C3H4O2(1169),[OH]+CC(=O)C[O]_O+C=C([O])C[O],18+44=11+89
8210,[C]1CCC1(5238) <=> C4H6(199),[C]1CCC1_C=CC=C,376=66
8211,[C]1CCC1(5238) <=> C4H6(4734),[C]1CCC1_C1=CCC1,376=92
8212,[C]1CCC1(5238) <=> C4H6(4149),[C]1CCC1_[CH2]C=C[CH2],376=93
8213,CH2O(9) + [CH]C-2(696) <=> H(14) + [CH2]C1CO1(2771),C=O+[CH]C_[H]+[CH2]C1CO1,12+372=17+104
8214,CH3CO3H(63) + C2H3CO(84) <=> CH3CO3(62) + C2H3CHO(83),CC(=O)OO+C=C[C]=O_CC(=O)O[O]+C=CC=O,114+349=47+182
8215,C2H3CO(84) + C3H5O3(6644) <=> C2H3CHO(83) + C3H4O3(6722),C=C[C]=O+[CH]1COOCO1_C=CC=O+C1=COOCO1,114+239=47+248
8216,C2H3O3(5784) + C2H3CHO(83) <=> CH3CO3H(63) + C2H3CO(84),[CH2]C(=O)OO+C=CC=O_CC(=O)OO+C=C[C]=O,47+231=114+349
8217,C2H3CHO(83) + C4H8OOH2-4(228) <=> C2H3CO(84) + SC4H9O2H(194),C=CC=O+[CH2]CC(C)OO_C=C[C]=O+CCC(C)OO,47+72=60+114
8218,C2H3CO(84) + C4H8O4(11426) <=> C2H3CHO(83) + C4H7O4(11378),C=C[C]=O+OOC1CCOOC1_C=CC=O+[O]OC1CCOOC1,114+377=47+109
8219,C2H3CO(84) + C4H7O2(5305) <=> C2H3CHO(83) + C4H6O2(7033),C=C[C]=O+[CH]1CCOOC1_C=CC=O+C1=COOCC1,105+114=47+108
8220,C2H3CHO(83) + C4H8OOH2-3(227) <=> C2H3CO(84) + SC4H9O2H(194),C=CC=O+C[CH]C(C)OO_C=C[C]=O+CCC(C)OO,47+272=60+114
8221,CH3O2H(55) + [CH2]C[CH]C(689) <=> CH3O2(54) + SC4H9(183),COO+[CH2]C[CH]C_CO[O]+C[CH]CC,37+81=36+57
8222,O2(2) + C2H3CO(84) <=> C3H3O3(4137),[O][O]+C=C[C]=O_[CH2]C1OOC1=O,5+114=375
8223,C3H3O3(15475) <=> C3H3O3(4137),C=CC(=O)O[O]_[CH2]C1OOC1=O,129=375
8224,C3H3O3(4137) <=> CO2(7) + CH2CHO(43),[CH2]C1OOC1=O_O=C=O+[CH2]C=O,375=10+24
8225,O2(2) + C2H3CO(84) <=> CO2(7) + CH2CHO(43),[O][O]+C=C[C]=O_O=C=O+[CH2]C=O,5+114=10+24
8226,CH2O(9) + CH3(18) <=> H(14) + [CH2]C[O](866),C=O+[CH3]_[H]+[CH2]C[O],12+21=17+80
8227,[CH2]C[O](866) + S(777) <=> C2H5O(58) + S(252),[CH2]C[O]+CC(CC[O])OO_CC[O]+CC(CC=O)OO,80+84=40+77
8228,[CH2]C[O](866) + C4H8OOH2-3(227) <=> CH2CHO(43) + SC4H9O2H(194),[CH2]C[O]+C[CH]C(C)OO_[CH2]C=O+CCC(C)OO,80+272=24+60
8229,[CH2]C[O](866) + SC4H9(183) <=> C2H5O(58) + C4H8(189),[CH2]C[O]+C[CH]CC_CC[O]+CC=CC,57+80=40+62
8230,[CH2]C[O](866) + C2H5(33) <=> C2H4(11) + C2H5O(58),[CH2]C[O]+C[CH2]_C=C+CC[O],32+80=14+40
8231,[CH2]C[O](866) + C3H5O(138) <=> C2H5O(58) + C2H3CHO(83),[CH2]C[O]+C=CC[O]_CC[O]+C=CC=O,54+80=40+47
8232,[CH2]C[O](866) + C4H7O4(11378) <=> CH2CHO(43) + C4H8O4(11426),[CH2]C[O]+[O]OC1CCOOC1_[CH2]C=O+OOC1CCOOC1,80+109=24+377
8233,CH3CO3(62) + [CH2]C[O](866) <=> CH2CHO(43) + CH3CO3H(63),CC(=O)O[O]+[CH2]C[O]_[CH2]C=O+CC(=O)OO,80+182=24+349
8234,C2H3O3(5784) + [CH2]C[O](866) <=> CH2CHO(43) + CH3CO3H(63),[CH2]C(=O)OO+[CH2]C[O]_[CH2]C=O+CC(=O)OO,80+231=24+349
8235,CH2CHO(43) + CH3CO3H(63) <=> C2H3O3(5784) + [CH2]C[O](866),[CH2]C=O+CC(=O)OO_[CH2]C(=O)OO+[CH2]C[O],24+349=80+231
8236,CO(6) + CH2CHO(43) <=> CO(6) + CH3CO(42),[C-]#[O+]+[CH2]C=O_[C-]#[O+]+C[C]=O,9+24=9+23
8237,CO(6) + CH2CHO(43) <=> HCO(29) + CH2CO(38),[C-]#[O+]+[CH2]C=O_[CH]=O+C=C=O,9+24=22+27
8238,CCOO(54) <=> HO2(16) + C[CH2](20),CCOO_[O]O+C[CH2],39=19+32
8239,CCC(C)OO(80) <=> HO2(16) + C[CH]CC(23),CCC(C)OO_[O]O+C[CH]CC,60=19+57
8240,C[CH]CC(23) <=> H(14) + C4H8(47),C[CH]CC_[H]+C=CCC,57=17+61
8241,[CH3](22) + C3H6(12) <=> H(14) + C4H8(47),[CH3]+C=CC_[H]+C=CCC,15+21=17+61
8242,C2H4(11) + C[CH2](20) <=> H(14) + C4H8(47),C=C+C[CH2]_[H]+C=CCC,14+32=17+61
8243,[CH2]CCC(24) <=> H(14) + C4H8(47),[CH2]CCC_[H]+C=CCC,56=17+61
8244,C[CH]CC(23) <=> H(14) + C4H8(46),C[CH]CC_[H]+CC=CC,57=17+62
8245,[CH3](22) + C3H6(12) <=> H(14) + C4H8(46),[CH3]+C=CC_[H]+CC=CC,15+21=17+62
8246,C2H4(11) + C[CH2](20) <=> H(14) + C4H8(46),C=C+C[CH2]_[H]+CC=CC,14+32=17+62
8247,[CH2]CCC(24) <=> H(14) + C4H8(46),[CH2]CCC_[H]+CC=CC,56=17+62
8248,CCCCOO(226) <=> HO2(16) + [CH2]CCC(24),CCCCOO_[O]O+[CH2]CCC,280=19+56
8249,C3H5O(196) <=> [CH3](22) + C2H2O(603),C=C(C)[O]_[CH3]+C=C=O,43=21+27
8250,CCCC[O](216) <=> CH2O(9) + [CH2]CC(21),CCCC[O]_C=O+[CH2]CC,279=12+48
8251,[CH2]CCCO(1014) <=> CH2O(9) + [CH2]CC(21),[CH2]CCCO_C=O+[CH2]CC,291=12+48
8252,CO(6) + CCO[O](28) <=> OH(15) + C3H4O2(640),[C-]#[O+]+CCO[O]_[OH]+O=C1COC1,9+38=18+88
8253,CH2O(9) + C3H5O(175) <=> C4H7O2(1101),C=O+C=C(C)[O]_O=[C]CCCO,12+43=298
8254,CH2O(9) + C3H5O(175) <=> C4H7O2(1068),C=O+C=C(C)[O]_[O]CCCC=O,12+43=297
8255,CH2O(9) + C3H5O(175) <=> CO(6) + [CH2]CCO(1012),C=O+C=C(C)[O]_[C-]#[O+]+[CH2]CCO,12+43=9+292
8256,C8H16O3(562) <=> C4H8(47) + C4H8O3(156),CC=CCC(O)CC(C)OO_C=CCC+CC(CC=O)OO,393=61+77
8257,C8H16O3(837) <=> C4H8(46) + C4H8O3(156),C=CC(C)C(O)CC(C)OO_CC=CC+CC(CC=O)OO,405=62+77
8258,C8H16O3(837) <=> C8H16O3(562),C=CC(C)C(O)CC(C)OO_CC=CCC(O)CC(C)OO,405=393
8259,C8H16O6(552) <=> C4H8O3(156) + C4H8O3(156),CC(C=COC(O)CC(C)OO)OO_CC(CC=O)OO+CC(CC=O)OO,392=77+77
8260,CH2O(9) + C4H8(46) <=> C5H10O(657),C=O+CC=CC_CC=CCCO,12+62=399
8261,CH2O(9) + C4H8(47) <=> C5H10O(657),C=O+C=CCC_CC=CCCO,12+61=399
8262,CH2O(9) + C4H8(47) <=> CH2O(9) + C4H8(46),C=O+C=CCC_C=O+CC=CC,12+61=12+62
8263,C6H12O(1835) <=> C2H4O(35) + C4H8(47),CC=CCC(C)O_CC=O+C=CCC,429=33+61
8264,CH2O(9) + C4H8(46) <=> C5H10O(825),C=O+CC=CC_C=CC(C)CO,12+62=403
8265,CH2O(9) + C4H8(47) <=> C5H10O(825),C=O+C=CCC_C=CC(C)CO,12+61=403
8266,C5H10O(825) <=> C5H10O(657),C=CC(C)CO_CC=CCCO,403=399
8267,C7H12O5(786) <=> C3H4O2(622) + C4H8O3(156),CC(CC(O)OC1=COC1)OO_O=C1COC1+CC(CC=O)OO,401=77+88
8268,C7H12O5(3346) <=> C7H12O5(786),[CH2]C(=C[O])OC(O)CC(C)OO_CC(CC(O)OC1=COC1)OO,437=401
8269,C8H16O3(534) <=> C4H8(47) + C4H8O3(158),CC=CCC(C)(O)CCOO_C=CCC+CC(=O)CCOO,391=61+78
8270,CC(CC[O])OO(146) <=> HO2(16) + C4H8O(114),CC(CC[O])OO_[O]O+C=CCCO,84=19+382
8271,C4H9O3(238) <=> HO2(16) + C4H8O(114),[CH2]C(CCO)OO_[O]O+C=CCCO,102=19+382
8272,OH(15) + OCCC1CO1(247) <=> HO2(16) + C4H8O(114),[OH]+OCCC1CO1_[O]O+C=CCCO,18+103=19+382
8273,CH2O(9) + C3H6(12) <=> C4H8O(114),C=O+C=CC_C=CCCO,12+15=382
8274,CCCC[O](195) <=> H(14) + C4H8O(114),CCCC[O]_[H]+C=CCCO,279=17+382
8275,O2(2) + [CH2]CCCO(1010) <=> HO2(16) + C4H8O(114),[O][O]+[CH2]CCCO_[O]O+C=CCCO,5+291=19+382
8276,[CH2]CCCO(1010) <=> H(14) + C4H8O(114),[CH2]CCCO_[H]+C=CCCO,291=17+382
8277,[O]OCCCCO(1014) <=> HO2(16) + C4H8O(114),[O]OCCCCO_[O]O+C=CCCO,293=19+382
8278,O[CH]CCCOO(1022) <=> HO2(16) + C4H8O(114),O[CH]CCCOO_[O]O+C=CCCO,294=19+382
8279,CC1CCO1(112) <=> C4H8O(114),CC1CCO1_C=CCCO,68=382
8280,C[CH]CC(23) + [CH2]CCCO(1010) <=> C4H8O(114) + butane(1),C[CH]CC+[CH2]CCCO_C=CCCO+CCCC,57+291=4+382
8281,[CH2]CCC(24) + [CH2]CCCO(1010) <=> C4H8O(114) + butane(1),[CH2]CCC+[CH2]CCCO_C=CCCO+CCCC,56+291=4+382
8282,C6H10O(1666) <=> C2H2O(585) + C4H8(47),C=C(O)CC=CC_C=C=O+C=CCC,423=27+61
8283,C7H12O5(3346) <=> C3H4O2(615) + C4H8O3(156),[CH2]C(=C[O])OC(O)CC(C)OO_C=C([O])C[O]+CC(CC=O)OO,437=77+89
8284,C6H12O(1866) <=> C2H4O(35) + C4H8(46),C=CC(C)C(C)O_CC=O+CC=CC,431=33+62
8285,C6H12O(1866) <=> C6H12O(1835),C=CC(C)C(C)O_CC=CCC(C)O,431=429
8286,OH(15) + [CH2]CCCO(1010) <=> H2O(8) + C4H8O(114),[OH]+[CH2]CCCO_O+C=CCCO,18+291=11+382
8287,[CH2]CCCO(1010) + CCC(C)O[O](52) <=> C4H8O(114) + CCC(C)OO(80),[CH2]CCCO+CCC(C)O[O]_C=CCCO+CCC(C)OO,59+291=60+382
8288,[CH2]CCCO(1010) + [CH2]CC(C)OO(74) <=> C4H8O(114) + CCC(C)OO(80),[CH2]CCCO+[CH2]CC(C)OO_C=CCCO+CCC(C)OO,72+291=60+382
8289,C8H16O6(518) <=> C4H8O3(158) + C4H8O3(156),CC(=CCOO)OC(O)CC(C)OO_CC(=O)CCOO+CC(CC=O)OO,388=77+78
8290,C8H16O3(831) <=> C4H8(46) + C4H8O3(158),C=CC(C)C(C)(O)CCOO_CC=CC+CC(=O)CCOO,404=62+78
8291,C8H16O3(831) <=> C8H16O3(534),C=CC(C)C(C)(O)CCOO_CC=CCC(C)(O)CCOO,404=391
8292,C6H10O(1676) <=> C2H2O(585) + C4H8(46),C=CC(C)C(=C)O_C=C=O+CC=CC,424=27+62
8293,C6H10O(1676) <=> C6H10O(1666),C=CC(C)C(=C)O_C=C(O)CC=CC,424=423
8294,C8H16O6(520) <=> C4H8O3(158) + C4H8O3(156),C=C(CCOO)OC(O)CC(C)OO_CC(=O)CCOO+CC(CC=O)OO,389=77+78
8295,[CH2]CCCO(1010) + C4H9O4(160) <=> C4H8O(114) + CC(CCOO)OO(162),[CH2]CCCO+CC(CCOO)O[O]_C=CCCO+CC(CCOO)OO,73+291=85+382
8296,[CH2]CCCO(1010) + C4H9O4(144) <=> C4H8O(114) + CC(CCOO)OO(162),[CH2]CCCO+CC(CCO[O])OO_C=CCCO+CC(CCOO)OO,74+291=85+382
8297,C5H10O4(649) <=> CH2O(9) + C4H8O3(156),CC(C=COCO)OO_C=O+CC(CC=O)OO,398=12+77
8298,C5H8O3(2034) <=> C2H4O(35) + C3H4O2(622),[CH2]C(=C[O])OC(C)O_CC=O+O=C1COC1,432=33+88
8299,C2H4O(35) + C3H4O2(622) <=> C2H4O(35) + C3H4O2(615),CC=O+O=C1COC1_CC=O+C=C([O])C[O],33+88=33+89
8300,CH2O(9) + [CH2]CC(21) <=> H(14) + C4H8O(114),C=O+[CH2]CC_[H]+C=CCCO,12+48=17+382
8301,C8H16O3(1086) <=> C4H8(47) + C4H8O3(1054),CC=CCC(O)CCCOO_C=CCC+O=CCCCOO,407=61+296
8302,[CH2]CCCO(1010) + CCCCO[O](194) <=> C4H8O(114) + CCCCOO(205),[CH2]CCCO+CCCCO[O]_C=CCCO+CCCCOO,58+291=280+382
8303,[CH2]CCCO(1010) + C[CH]CCOO(202) <=> C4H8O(114) + CCCCOO(205),[CH2]CCCO+C[CH]CCOO_C=CCCO+CCCCOO,70+291=280+382
8304,[CH2]CCCO(1010) + [CH2]CCCOO(203) <=> C4H8O(114) + CCCCOO(205),[CH2]CCCO+[CH2]CCCOO_C=CCCO+CCCCOO,71+291=280+382
8305,C5H8O3(2034) <=> C2H4O(35) + C3H4O2(615),[CH2]C(=C[O])OC(C)O_CC=O+C=C([O])C[O],432=33+89
8306,C8H16O3(1155) <=> C4H8(46) + C4H8O3(1054),C=CC(C)C(O)CCCOO_CC=CC+O=CCCCOO,413=62+296
8307,C8H16O3(1155) <=> C8H16O3(1086),C=CC(C)C(O)CCCOO_CC=CCC(O)CCCOO,413=407
8308,C6H12O4(1825) <=> C2H4O(35) + C4H8O3(156),CC(O)OC=CC(C)OO_CC=O+CC(CC=O)OO,427=33+77
8309,C7H14O3(487) <=> C3H6(12) + C4H8O3(156),C=CCC(O)CC(C)OO_C=CC+CC(CC=O)OO,387=15+77
8310,C4H6O3(1490) <=> CH2O(9) + C3H4O2(622),[CH2]C(=C[O])OCO_C=O+O=C1COC1,421=12+88
8311,C4H6O3(1490) <=> CH2O(9) + C3H4O2(615),[CH2]C(=C[O])OCO_C=O+C=C([O])C[O],421=12+89
8312,C2H2O(585) + C3H6(12) <=> C5H8O(2659),C=C=O+C=CC_C=CCC(=C)O,15+27=435
8313,CCO[O](28) + [CH2]CCCO(1010) <=> CCOO(54) + C4H8O(114),CCO[O]+[CH2]CCCO_CCOO+C=CCCO,38+291=39+382
8314,C2H3O(442) + [CH2]CCCO(1010) <=> C2H4O(35) + C4H8O(114),C=C[O]+[CH2]CCCO_CC=O+C=CCCO,24+291=33+382
8315,C5H10O4(641) <=> CH2O(9) + C4H8O3(158),CC(=CCOO)OCO_C=O+CC(=O)CCOO,396=12+78
8316,C8H16O6(1139) <=> C4H8O3(156) + C4H8O3(1054),CC(C=COC(O)CCCOO)OO_CC(CC=O)OO+O=CCCCOO,410=77+296
8317,C6H12O4(1827) <=> C2H4O(35) + C4H8O3(156),C=COC(O)CC(C)OO_CC=O+CC(CC=O)OO,428=33+77
8318,C7H14O3(1396) <=> C3H6O3(434) + C4H8(46),C=CC(C)C(O)CCOO_O=CCCOO+CC=CC,420=62+282
8319,C5H10O4(642) <=> CH2O(9) + C4H8O3(158),C=C(CCOO)OCO_C=O+CC(=O)CCOO,397=12+78
8320,C7H14O3(1380) <=> C3H6O3(434) + C4H8(47),CC=CCC(O)CCOO_O=CCCOO+C=CCC,418=61+282
8321,C7H14O3(1396) <=> C7H14O3(1380),C=CC(C)C(O)CCOO_CC=CCC(O)CCOO,420=418
8322,C7H12O5(1148) <=> C3H4O2(622) + C4H8O3(1054),OOCCCC(O)OC1=COC1_O=C1COC1+O=CCCCOO,412=88+296
8323,C7H12O5(6912) <=> C7H12O5(1148),[CH2]C(=C[O])OC(O)CCCOO_OOCCCC(O)OC1=COC1,444=412
8324,C7H12O5(6912) <=> C3H4O2(615) + C4H8O3(1054),[CH2]C(=C[O])OC(O)CCCOO_C=C([O])C[O]+O=CCCCOO,444=89+296
8325,C6H12O4(1814) <=> C2H4O(35) + C4H8O3(158),CC(=CCOO)OC(C)O_CC=O+CC(=O)CCOO,425=33+78
8326,C2H4O(35) + C3H4O2(622) <=> C5H8O3(1859),CC=O+O=C1COC1_CC(O)OC1=COC1,33+88=430
8327,C5H8O3(2034) <=> C5H8O3(1859),[CH2]C(=C[O])OC(C)O_CC(O)OC1=COC1,432=430
8328,C5H8O3(1859) <=> C2H4O(35) + C3H4O2(615),CC(O)OC1=COC1_CC=O+C=C([O])C[O],430=33+89
8329,HO2(16) + [CH2]CCCO(1010) <=> H2O2(17) + C4H8O(114),[O]O+[CH2]CCCO_OO+C=CCCO,19+291=20+382
8330,C6H10O5(1389) <=> C3H4O2(622) + C3H6O3(434),OOCCC(O)OC1=COC1_O=C1COC1+O=CCCOO,419=88+282
8331,C6H10O5(3692) <=> C6H10O5(1389),[CH2]C(=C[O])OC(O)CCOO_OOCCC(O)OC1=COC1,438=419
8332,C6H10O5(3692) <=> C3H4O2(615) + C3H6O3(434),[CH2]C(=C[O])OC(O)CCOO_C=C([O])C[O]+O=CCCOO,438=89+282
8333,CH2O(9) + C3H4O2(622) <=> C4H6O3(820),C=O+O=C1COC1_OCOC1=COC1,12+88=402
8334,C4H6O3(1490) <=> C4H6O3(820),[CH2]C(=C[O])OCO_OCOC1=COC1,421=402
8335,C4H6O3(820) <=> CH2O(9) + C3H4O2(615),OCOC1=COC1_C=O+C=C([O])C[O],402=12+89
8336,C2H3O(442) + C3H6(12) <=> H(14) + C5H8O(2659),C=C[O]+C=CC_[H]+C=CCC(=C)O,15+24=17+435
8337,C8H16O6(1141) <=> C4H8O3(156) + C4H8O3(1054),CC(CC(O)OC=CCCOO)OO_CC(CC=O)OO+O=CCCCOO,411=77+296
8338,CHO(76) + [CH2]CCCO(1010) <=> CH2O(9) + C4H8O(114),[CH]=O+[CH2]CCCO_C=O+C=CCCO,22+291=12+382
8339,C7H12O5(777) <=> C3H4O2(622) + C4H8O3(158),CC(O)(CCOO)OC1=COC1_O=C1COC1+CC(=O)CCOO,400=78+88
8340,C7H12O5(7948) <=> C7H12O5(777),[CH2]C(=C[O])OC(C)(O)CCOO_CC(O)(CCOO)OC1=COC1,447=400
8341,C6H12O4(1816) <=> C2H4O(35) + C4H8O3(158),C=C(CCOO)OC(C)O_CC=O+CC(=O)CCOO,426=33+78
8342,[CH2]CCCO(1010) + C[CH]C(C)OO(72) <=> C4H8O(114) + CCC(C)OO(80),[CH2]CCCO+C[CH]C(C)OO_C=CCCO+CCC(C)OO,272+291=60+382
8343,C3H4O2(956) <=> C3H4O2(622),CC([O])=C[O]_O=C1COC1,406=88
8344,C3H4O2(615) <=> C3H4O2(956),C=C([O])C[O]_CC([O])=C[O],89=406
8345,C3H4O2(956) <=> CH2O(9) + C2H2O(585),CC([O])=C[O]_C=O+C=C=O,406=12+27
8346,C7H12O5(3346) <=> C3H4O2(956) + C4H8O3(156),[CH2]C(=C[O])OC(O)CC(C)OO_CC([O])=C[O]+CC(CC=O)OO,437=77+406
8347,C2H4O(35) + C3H4O2(956) <=> C2H4O(35) + C3H4O2(622),CC=O+CC([O])=C[O]_CC=O+O=C1COC1,33+406=33+88
8348,C5H8O3(2034) <=> C2H4O(35) + C3H4O2(956),[CH2]C(=C[O])OC(C)O_CC=O+CC([O])=C[O],432=33+406
8349,CH2O(9) + C3H4O2(956) <=> CH2O(9) + C3H4O2(622),C=O+CC([O])=C[O]_C=O+O=C1COC1,12+406=12+88
8350,C4H6O3(1490) <=> CH2O(9) + C3H4O2(956),[CH2]C(=C[O])OCO_C=O+CC([O])=C[O],421=12+406
8351,C7H12O5(6912) <=> C3H4O2(956) + C4H8O3(1054),[CH2]C(=C[O])OC(O)CCCOO_CC([O])=C[O]+O=CCCCOO,444=296+406
8352,C2H4O(35) + C3H4O2(956) <=> C5H8O3(1859),CC=O+CC([O])=C[O]_CC(O)OC1=COC1,33+406=430
8353,C6H10O5(3692) <=> C3H4O2(956) + C3H6O3(434),[CH2]C(=C[O])OC(O)CCOO_CC([O])=C[O]+O=CCCOO,438=282+406
8354,CH2O(9) + C3H4O2(956) <=> C4H6O3(820),C=O+CC([O])=C[O]_OCOC1=COC1,12+406=402
8355,C7H12O5(7948) <=> C3H4O2(956) + C4H8O3(158),[CH2]C(=C[O])OC(C)(O)CCOO_CC([O])=C[O]+CC(=O)CCOO,447=78+406
8356,O2(2) + C3H5O(175) <=> OH(15) + C3H4O2(606),[O][O]+C=C(C)[O]_[OH]+CC(=O)C=O,5+43=18+394
8357,C3H5O3(593) <=> OH(15) + C3H4O2(606),CC(=O)CO[O]_[OH]+CC(=O)C=O,45=18+394
8358,C3H5O3(607) <=> OH(15) + C3H4O2(606),C=C([O])COO_[OH]+CC(=O)C=O,87=18+394
8359,C3H4O2(622) <=> C3H4O2(606),O=C1COC1_CC(=O)C=O,88=394
8360,C3H4O2(615) <=> C3H4O2(606),C=C([O])C[O]_CC(=O)C=O,89=394
8361,CH2O(9) + C2H2O(585) <=> C3H4O2(606),C=O+C=C=O_CC(=O)C=O,12+27=394
8362,OH(15) + C3H4O2(622) <=> OH(15) + C3H4O2(606),[OH]+O=C1COC1_[OH]+CC(=O)C=O,18+88=18+394
8363,CO(6) + CCO[O](28) <=> OH(15) + C3H4O2(606),[C-]#[O+]+CCO[O]_[OH]+CC(=O)C=O,9+38=18+394
8364,OH(15) + C3H4O2(956) <=> OH(15) + C3H4O2(606),[OH]+CC([O])=C[O]_[OH]+CC(=O)C=O,18+406=18+394
8365,C3H4O2(956) <=> C3H4O2(606),CC([O])=C[O]_CC(=O)C=O,406=394
8366,C3H4O2(622) <=> CO(6) + C2H4O(35),O=C1COC1_[C-]#[O+]+CC=O,88=9+33
8367,C3H4O2(615) <=> CO(6) + C2H4O(35),C=C([O])C[O]_[C-]#[O+]+CC=O,89=9+33
8368,CH2O(9) + C2H2O(585) <=> CO(6) + C2H4O(35),C=O+C=C=O_[C-]#[O+]+CC=O,12+27=9+33
8369,C3H4O2(606) <=> CO(6) + C2H4O(35),CC(=O)C=O_[C-]#[O+]+CC=O,394=9+33
8370,C3H4O2(956) <=> CO(6) + C2H4O(35),CC([O])=C[O]_[C-]#[O+]+CC=O,406=9+33
8371,CH2O(9) + C3H4O2(956) <=> CH2O(9) + C3H4O2(615),C=O+CC([O])=C[O]_C=O+C=C([O])C[O],12+406=12+89
8372,C2H4O(35) + C3H4O2(956) <=> C2H4O(35) + C3H4O2(615),CC=O+CC([O])=C[O]_CC=O+C=C([O])C[O],33+406=33+89
8373,C2H4O(35) + C3H4O2(606) <=> C5H8O3(2034),CC=O+CC(=O)C=O_[CH2]C(=C[O])OC(C)O,33+394=432
8374,C2H4O(35) + C3H4O2(606) <=> C5H8O3(1859),CC=O+CC(=O)C=O_CC(O)OC1=COC1,33+394=430
8375,C2H4O(35) + C3H4O2(606) <=> C2H4O(35) + C3H4O2(615),CC=O+CC(=O)C=O_CC=O+C=C([O])C[O],33+394=33+89
8376,C2H4O(35) + C3H4O2(956) <=> C2H4O(35) + C3H4O2(606),CC=O+CC([O])=C[O]_CC=O+CC(=O)C=O,33+406=33+394
8377,C2H4O(35) + C3H4O2(606) <=> C2H4O(35) + C3H4O2(622),CC=O+CC(=O)C=O_CC=O+O=C1COC1,33+394=33+88
8378,CH2O(9) + C3H4O2(606) <=> C4H6O3(1490),C=O+CC(=O)C=O_[CH2]C(=C[O])OCO,12+394=421
8379,CH2O(9) + C3H4O2(606) <=> C4H6O3(820),C=O+CC(=O)C=O_OCOC1=COC1,12+394=402
8380,CH2O(9) + C3H4O2(606) <=> CH2O(9) + C3H4O2(615),C=O+CC(=O)C=O_C=O+C=C([O])C[O],12+394=12+89
8381,CH2O(9) + C3H4O2(606) <=> CH2O(9) + C3H4O2(956),C=O+CC(=O)C=O_C=O+CC([O])=C[O],12+394=12+406
8382,CH2O(9) + C3H4O2(606) <=> CH2O(9) + C3H4O2(622),C=O+CC(=O)C=O_C=O+O=C1COC1,12+394=12+88
8383,C2H3(37) + [CH2]CCCO(1010) <=> C2H4(11) + C4H8O(114),[CH]=C+[CH2]CCCO_C=C+C=CCCO,25+291=14+382
8384,C2H2O(585) + C3H4O2(606) <=> C2H(4) + C3H5O3(593),C=C=O+CC(=O)C=O_[C]#C+CC(=O)CO[O],27+394=7+45
8385,C2H2O(585) + C3H4O2(606) <=> C2H2O(585) + C3H4O2(956),C=C=O+CC(=O)C=O_C=C=O+CC([O])=C[O],27+394=27+406
